Linux 4.14.35-1844.1.3.el7uek.x86_64 (instance-20190207-1400) 	02/07/2019 	_x86_64_	(104 CPU)

02/07/2019 07:46:39 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.21    0.00    2.00    3.40    0.00   94.39

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdac              2.00     6.00  255.00  234.00 65792.00 61952.00   522.47   142.74  319.04   97.82  560.11   2.04 100.00
sdad              0.00    14.00  292.00  281.00 75008.00 74752.00   522.72   142.72  253.71   85.40  428.60   1.75 100.00
sdae              8.00    16.00  386.00  344.00 100608.00 91392.00   526.03   142.74  193.00   71.48  329.35   1.37 100.00
sdaf              8.00    19.00  445.00  479.00 115968.00 127232.00   526.41   143.18  150.75   53.17  241.40   1.08 100.00
sdag              3.00    22.00  449.00  423.00 115200.00 113408.00   524.33   142.03  162.22   53.27  277.87   1.15 100.00

02/07/2019 07:46:44 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.67    0.00    2.34   20.32    0.00   76.67

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdb               1.00    13.00  293.00  256.00 75264.00 68608.00   524.12   143.27  248.63   85.32  435.55   1.82 100.00
sdc               4.00    28.00  375.00  381.00 97024.00 103168.00   529.61   140.85  188.21   70.26  304.29   1.32 100.00
sdd               3.00    19.00  337.00  300.00 87040.00 81408.00   528.88   141.16  217.69   75.94  376.93   1.57 100.00
sde               0.00    20.00  353.00  363.00 90368.00 97024.00   523.44   138.45  227.09   72.03  377.87   1.40 100.00
sdf               7.00    14.00  348.00  362.00 90880.00 97280.00   530.03   138.36  217.43   70.74  358.45   1.41 100.00
sdg               7.00    24.00  323.00  320.00 84224.00 87312.00   533.55   134.03  216.80   99.51  335.18   1.56 100.00
sdh               3.00    15.00  279.00  310.00 71936.00 84992.00   532.86   142.99  232.41   75.37  373.76   1.70 100.00
sdi               9.00    37.00  480.00  455.00 125184.00 127744.00   541.02   141.70  148.87   53.13  249.87   1.07 100.00
sdj               2.00    46.00  487.00  530.00 124928.00 144640.00   530.12   142.40  152.43   47.51  248.84   0.98 100.00
sdk               6.00    17.00  368.00  324.00 95488.00 85760.00   523.84   143.68  201.84   77.22  343.38   1.45 100.00
sdl               1.00    14.00  292.00  262.00 75008.00 69632.00   522.17   143.38  233.06   85.63  397.37   1.81 100.00
sdm               3.00    16.00  301.00  309.00 77824.00 81664.00   522.91   142.87  217.15   74.86  355.76   1.64 100.00
sdn               6.00    16.00  396.00  366.00 102656.00 98816.00   528.80   143.78  195.47   63.18  338.59   1.31 100.00
sdo               2.00    22.00  306.00  251.00 78848.00 68864.00   530.38   141.89  236.77   81.72  425.79   1.80 100.00
sdp               1.00    13.00  298.00  269.00 76544.00 72192.00   524.64   140.78  245.79   78.97  430.59   1.76  99.90
sdq               4.00    19.00  300.00  283.00 77312.00 76544.00   527.81   143.79  245.75   85.20  415.94   1.72 100.00
sdr               1.00    17.00  289.00  273.00 74240.00 73728.00   526.58   141.64  225.82   82.76  377.27   1.78 100.00
sds               2.00    26.00  327.00  332.00 84224.00 89344.00   526.76   143.84  210.23   72.49  345.91   1.52 100.00
sdt               2.00    23.00  288.00  305.00 74496.00 82432.00   529.27   142.72  235.37   75.01  386.78   1.69 100.00
sdu               0.00     9.00  266.00  262.00 68096.00 69632.00   521.70   142.11  287.50   77.38  500.84   1.89 100.00
sdv               4.00    17.00  386.00  345.00 99840.00 92928.00   527.41   144.62  196.05   67.93  339.39   1.37 100.00
sdw               3.00    24.00  372.00  354.00 96000.00 97280.00   532.45   142.32  189.85   61.99  324.20   1.38 100.00
sdx               0.00    15.00  309.00  308.00 79104.00 81152.00   519.47   140.64  219.25   68.58  370.40   1.62 100.00
sdy               6.00    33.00  510.00  469.00 132608.00 127488.00   531.35   140.51  145.74   46.44  253.73   1.02 100.00
sdz               5.00    16.00  294.00  326.00 76544.00 86272.00   525.21   139.59  223.35   59.89  370.77   1.61 100.00
