Linux 4.14.35-1844.1.3.el7uek.x86_64 (instance-20190207-1400) 	02/07/2019 	_x86_64_	(104 CPU)

02/07/2019 07:48:42 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.24    0.00    1.99    4.25    0.00   93.52

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdf               4.00     0.00 8391.00    2.00 33580.00  2048.00     8.49   142.34   16.97   16.97   26.00   0.12 100.00
sdg              15.00     0.00 13501.00    2.00 54060.00  2048.00     8.31   141.94   10.53   10.53   17.00   0.07 100.00
sdh              10.00     0.00 22103.00    2.00 88452.00  2048.00     8.19   140.50    6.36    6.35   16.50   0.05 100.00
sdi               6.00     0.00 25386.00    2.00 101572.00  2048.00     8.16   139.78    5.50    5.50   13.00   0.04 100.00
sdj               9.00     0.00 19607.00    2.00 78464.00  2048.00     8.21   141.09    7.17    7.17   13.00   0.05 100.00
sdk               2.00     0.00 9356.00    2.00 37432.00  2048.00     8.44   142.21   15.14   15.14   21.00   0.11 100.10
sdl              22.00     0.00 25822.00    4.00 103376.00  4096.00     8.32   140.68    5.45    5.44   12.50   0.04 100.00
sdm              18.00     0.00 25890.00    4.00 103632.00  4096.00     8.32   140.68    5.42    5.42   19.75   0.04 100.00
sdn               9.00     0.00 21098.00    4.00 84428.00  4096.00     8.39   139.85    6.63    6.63   13.50   0.05 100.00
sdo               9.00     0.00 18182.00    4.00 72764.00  4096.00     8.45   142.78    7.86    7.86   12.00   0.05 100.00
sdp               8.00     0.00 18168.00    4.00 72704.00  4096.00     8.45   141.28    7.75    7.75   14.50   0.06 100.20
sdq               9.00     0.00 20655.00    4.00 82652.00  4096.00     8.40   138.54    6.70    6.70   12.00   0.05 100.00
sdr              15.00     0.00 20247.00    4.00 81048.00  4096.00     8.41   141.15    6.97    6.97   14.75   0.05 100.00
sds              11.00     0.00 15160.00    4.00 60680.00  4096.00     8.54   142.42    9.38    9.37   15.00   0.07 100.00
sdt              29.00     0.00 25751.00    4.00 103120.00  4096.00     8.33   140.01    5.45    5.45   15.00   0.04 100.00
sdu              10.00     0.00 25749.00    4.00 103028.00  4096.00     8.32   139.96    5.43    5.43   11.50   0.04 100.00
sdv               9.00     0.00 22033.00    4.00 88168.00  4096.00     8.37   115.66    5.21    5.21   12.50   0.04  97.50
sdw               9.00     0.00 17439.00    4.00 69792.00  4096.00     8.47   140.75    8.08    8.08   14.50   0.06 100.00
sdx               7.00     0.00 16822.00    4.00 67316.00  4096.00     8.49   141.24    8.40    8.40   16.50   0.06 100.00
sdy              17.00     0.00 25404.00    4.00 101684.00  4096.00     8.33   131.85    5.21    5.20   15.00   0.04  99.60
sdz              18.00     0.00 24104.00    4.00 96488.00  4096.00     8.34   140.11    5.82    5.82   10.75   0.04 100.00
sdaa              7.00     0.00 13010.00    4.00 52068.00  4096.00     8.63   141.80   10.88   10.88   20.50   0.08 100.10
sdab              4.00     0.00 8728.00    4.00 34928.00  4096.00     8.94   142.79   16.34   16.34   20.25   0.11 100.10
sdac             10.00     0.00 23049.00    4.00 92236.00  4096.00     8.36   140.64    6.10    6.10   12.00   0.04 100.10
sdad             15.00     0.00 24503.00    4.00 98072.00  4096.00     8.34   140.07    5.72    5.72   12.25   0.04 100.00
sdae              2.00     0.00 8771.00    4.00 35092.00  4096.00     8.93   141.54   16.07   16.07   21.50   0.11 100.10
sdaf             15.00     0.00 24955.00    4.00 99880.00  4096.00     8.33   140.54    5.65    5.65   12.75   0.04 100.00
sdag              4.00     0.00 7923.00    4.00 31708.00  4096.00     9.03   142.49   18.00   18.00   32.50   0.13 100.00

02/07/2019 07:48:47 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.11    0.00   19.62   12.03    0.00   67.25

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdb              23.00     0.00 26751.00    4.00 107092.00  4096.00     8.31   139.88    5.21    5.20   10.50   0.04 100.20
sdc              24.00     0.00 24211.00    4.00 96940.00  4096.00     8.34   140.66    5.81    5.81   12.25   0.04 100.10
sdd              22.00     0.00 26106.00    4.00 104512.00  4096.00     8.32   139.85    5.35    5.35   11.25   0.04 100.10
sde              10.00     0.00 18787.00    4.00 75188.00  4096.00     8.44   140.95    7.50    7.50   13.50   0.05 100.10
sdf               1.00     0.00 8291.00    4.00 33168.00  4096.00     8.98   142.05   17.16   17.15   24.75   0.12 100.10
sdg               4.00     0.00 13265.00    4.00 53080.00  4096.00     8.62   141.70   10.68   10.67   20.25   0.08 100.10
sdh              15.00     0.00 25285.00    4.00 101200.00  4096.00     8.33   140.50    5.55    5.54   14.50   0.04 100.30
sdi              25.00     0.00 25434.00    4.00 101836.00  4096.00     8.33   139.89    5.50    5.49   17.50   0.04 100.10
sdj              11.00     0.00 19678.00    4.00 78756.00  4096.00     8.42   140.82    7.18    7.18   13.00   0.05 100.00
sdk               3.00     0.00 9180.00    4.00 36732.00  4096.00     8.89   142.99   15.59   15.58   23.00   0.11 100.00
sdl              17.00     0.00 26260.00    2.00 105108.00  2048.00     8.16   139.71    5.32    5.32   13.50   0.04 100.00
sdm              26.00     0.00 26305.00    2.00 105324.00  2048.00     8.16   140.48    5.34    5.34   11.50   0.04 100.00
sdn               8.00     0.00 22577.00    2.00 90340.00  2048.00     8.18   140.55    6.23    6.23   12.50   0.04 100.00
sdo              17.00     0.00 18859.00    2.00 75504.00  2048.00     8.22   141.54    7.50    7.50   11.00   0.05 100.10
sdp              11.00     0.00 19047.00    2.00 76232.00  2048.00     8.22   141.00    7.42    7.42   14.00   0.05 100.00
sdq              13.00     0.00 24121.00    2.00 96540.00  2048.00     8.17   140.08    5.82    5.82   12.00   0.04 100.00
sdr              13.00     0.00 20387.00    2.00 81600.00  2048.00     8.21   140.70    6.90    6.89   15.00   0.05 100.00
sds               9.00     0.00 16153.00    4.00 64652.00  4096.00     8.51   141.63    8.76    8.76   14.25   0.06 100.10
sdt              16.00     0.00 26215.00    4.00 104924.00  4096.00     8.32   140.06    5.34    5.34   11.50   0.04 100.10
sdu              19.00     0.00 26216.00    4.00 104948.00  4096.00     8.32   139.60    5.32    5.32   11.50   0.04 100.10
sdv              20.00     0.00 24555.00    4.00 98300.00  4096.00     8.34   139.83    5.70    5.70   13.50   0.04 100.10
sdw              10.00     0.00 24397.00    4.00 97620.00  4096.00     8.34   140.36    5.76    5.76   12.50   0.04 100.10
sdx               6.00     0.00 16898.00    4.00 67616.00  4096.00     8.49   141.68    8.37    8.37   16.50   0.06 100.10
sdy              19.00     0.00 25635.00    4.00 102616.00  4096.00     8.32   135.01    5.25    5.25   12.50   0.04  99.70
sdz              13.00     0.00 24294.00    4.00 97228.00  4096.00     8.34   138.81    5.70    5.70   11.75   0.04 100.20
sdaa              5.00     0.00 12836.00    4.00 51364.00  4096.00     8.64   141.62   11.04   11.04   20.75   0.08 100.00
sdab              7.00     0.00 8557.00    4.00 34256.00  4096.00     8.96   142.52   16.67   16.67   21.00   0.12 100.00
sdac             17.00     0.00 22988.00    4.00 92020.00  4096.00     8.36   140.34    6.11    6.11   12.00   0.04 100.00
sdad             18.00     0.00 25136.00    4.00 100616.00  4096.00     8.33   140.18    5.57    5.56   15.75   0.04 100.20
sdae              4.00     0.00 8766.00    4.00 35080.00  4096.00     8.93   143.26   16.35   16.34   21.25   0.11 100.10
sdaf             32.00     0.00 24533.00    4.00 98260.00  4096.00     8.34   140.50    5.73    5.72   12.25   0.04 100.10
sdag              1.00     0.00 7780.00    4.00 31124.00  4096.00     9.05   144.51   18.63   18.63   30.75   0.13 100.10

02/07/2019 07:48:48 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.04    0.00   19.34   12.37    0.00   67.26

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdb              21.00     3.00 26718.00    6.00 106960.00  4116.00     8.31   139.82    5.24    5.24    7.83   0.04  99.90
sdc              23.00     2.00 24483.00    6.00 98024.00  4112.00     8.34   140.44    5.74    5.74    8.83   0.04  99.90
sdd              16.00     2.00 26217.00    6.00 104932.00  4112.00     8.32   139.49    5.32    5.32    8.83   0.04  99.90
sde              13.00     2.00 18725.00    6.00 74952.00  4112.00     8.44   140.57    7.51    7.51   10.83   0.05  99.90
